EC_Id|DO_Numero|DO_Domaine|DateLecture
21067|FA2600548|0|2026-07-19 23:11:36.4666667
21068|FR2600070|0|2026-07-19 23:11:36.4700000
21069|FA2600559|0|2026-07-19 23:11:36.4700000
21070|FA2600564|0|2026-07-19 23:11:36.4733333
21071|FA2600582|0|2026-07-19 23:11:36.4766667
21072|FR2600077|0|2026-07-19 23:11:36.4766667
21073|FA2600600|0|2026-07-19 23:11:36.4800000
21074|FA2600619|0|2026-07-19 23:11:36.4833333
21306|FA2600660|0|2026-07-19 23:11:36.4900000
22136|FA2600916|0|2026-07-19 23:11:36.7733333
22137|FA2600917|0|2026-07-19 23:11:36.7766667
22149|FA2600869|0|2026-07-19 23:11:36.7766667
22150|FR2600127|0|2026-07-19 23:11:36.7800000
22163|FR2600117|0|2026-07-19 23:11:36.7833333
22291|FR2600138|0|2026-07-19 23:11:36.9133333
22298|FA2600736|0|2026-07-19 23:11:36.9200000
22299|FA2600745|0|2026-07-19 23:11:36.9233333
22300|FR2600104|0|2026-07-19 23:11:36.9233333
22305|FA2600888|0|2026-07-19 23:11:36.9266667
22306|FR2600131|0|2026-07-19 23:11:36.9300000
22307|FA2600944|0|2026-07-19 23:11:36.9300000
22308|FA2601003|0|2026-07-19 23:11:36.9333333
22318|FR2600075|0|2026-07-19 23:11:36.9366667
22332|FA2600874|0|2026-07-19 23:11:36.9366667
22334|FA2600894|0|2026-07-19 23:11:36.9400000
22335|FA2600925|0|2026-07-19 23:11:36.9433333
22336|FA2600948|0|2026-07-19 23:11:36.9433333
22337|FA2600963|0|2026-07-19 23:11:36.9466667
22338|FA2600982|0|2026-07-19 23:11:36.9500000
22339|FA2601001|0|2026-07-19 23:11:36.9533333
22346|FA2600873|0|2026-07-19 23:11:36.9533333
22347|FA2600895|0|2026-07-19 23:11:36.9566667
22348|FA2600923|0|2026-07-19 23:11:36.9600000
22349|FA2600949|0|2026-07-19 23:11:36.9600000
22350|FA2600964|0|2026-07-19 23:11:36.9633333
22351|FA2600979|0|2026-07-19 23:11:36.9633333
22352|FA2601000|0|2026-07-19 23:11:36.9666667
22353|FR2600139|0|2026-07-19 23:11:36.9700000
23447|FA2600972|0|2026-07-19 23:11:37.0233333
23448|FA2600984|0|2026-07-19 23:11:37.0233333
23449|FA2601005|0|2026-07-19 23:11:37.0266667
23450|FA2601023|0|2026-07-19 23:11:37.0266667
23462|FA2600868|0|2026-07-19 23:11:37.0300000
23463|FR2600126|0|2026-07-19 23:11:37.0333333
23464|FA2601047|0|2026-07-19 23:11:37.0366667
23470|FA2600892|0|2026-07-19 23:11:37.0400000
23471|FA2600960|0|2026-07-19 23:11:37.0400000
23472|FA2600992|0|2026-07-19 23:11:37.0433333
23484|FA2600904|0|2026-07-19 23:11:37.0500000
23485|FA2600905|0|2026-07-19 23:11:37.0500000
23486|FA2600961|0|2026-07-19 23:11:37.0533333
23487|FA2600962|0|2026-07-19 23:11:37.0566667
23488|FA2600980|0|2026-07-19 23:11:37.0566667
23489|FA2600981|0|2026-07-19 23:11:37.0600000
23490|FA2601010|0|2026-07-19 23:11:37.0633333
23491|FA2601011|0|2026-07-19 23:11:37.0633333
23542|FA2600893|0|2026-07-19 23:11:37.1333333
23543|FA2600957|0|2026-07-19 23:11:37.1333333
23544|FA2601013|0|2026-07-19 23:11:37.1366667
23545|FA2601087|0|2026-07-19 23:11:37.1400000
23551|FA2600959|0|2026-07-19 23:11:37.1433333
23552|FA2600969|0|2026-07-19 23:11:37.1466667
23553|FA2600985|0|2026-07-19 23:11:37.1500000
23554|FA2601008|0|2026-07-19 23:11:37.1500000
23555|FA2601009|0|2026-07-19 23:11:37.1533333
23556|FR2600140|0|2026-07-19 23:11:37.1566667
23588|FA2601115|0|2026-07-19 23:11:37.1733333
23589|FA2601127|0|2026-07-19 23:11:37.1766667
23593|FA2601022|0|2026-07-19 23:11:37.1766667
23597|FA2601090|0|2026-07-19 23:11:37.1833333
23598|FA2601100|0|2026-07-19 23:11:37.1866667
23599|FA2601128|0|2026-07-19 23:11:37.1866667
23612|FA2601104|0|2026-07-19 23:11:37.1900000
23613|FA2601120|0|2026-07-19 23:11:37.1933333
23614|FA2601124|0|2026-07-19 23:11:37.1933333
23651|FA2600912|0|2026-07-19 23:11:37.2200000
23652|FA2600922|0|2026-07-19 23:11:37.2233333
23653|FA2601012|0|2026-07-19 23:11:37.2233333
23654|FA2601147|0|2026-07-19 23:11:37.2266667
23658|FA2600398|0|2026-07-19 23:11:37.2300000
23659|FA2600592|0|2026-07-19 23:11:37.2300000
23660|FA2600860|0|2026-07-19 23:11:37.2333333
23661|FA2601057|0|2026-07-19 23:11:37.2366667
23668|FR2600062|0|2026-07-19 23:11:37.2400000
23678|FA2600644|0|2026-07-19 23:11:37.2400000
23679|FA2600645|0|2026-07-19 23:11:37.2433333
23680|FR2600090|0|2026-07-19 23:11:37.2466667
23681|FA2600647|0|2026-07-19 23:11:37.2466667
23682|FA2600648|0|2026-07-19 23:11:37.2500000
23683|FA2600649|0|2026-07-19 23:11:37.2533333
23684|FA2600655|0|2026-07-19 23:11:37.2566667
23686|FA2600670|0|2026-07-19 23:11:37.2566667
23687|FA2600671|0|2026-07-19 23:11:37.2600000
23688|FA2600675|0|2026-07-19 23:11:37.2633333
23689|FA2600688|0|2026-07-19 23:11:37.2633333
23690|FA2600691|0|2026-07-19 23:11:37.2666667
23693|FA2600700|0|2026-07-19 23:11:37.2733333
23694|FA2600703|0|2026-07-19 23:11:37.2733333
23695|FA2600713|0|2026-07-19 23:11:37.2766667
23696|FR2600099|0|2026-07-19 23:11:37.2800000
23698|FA2600726|0|2026-07-19 23:11:37.2833333
23699|FA2600729|0|2026-07-19 23:11:37.2866667
23700|FA2600742|0|2026-07-19 23:11:37.2900000
23701|FA2600746|0|2026-07-19 23:11:37.2900000
23703|FA2600759|0|2026-07-19 23:11:37.2933333
23704|FA2600586|0|2026-07-19 23:11:37.2966667
23705|FA2600762|0|2026-07-19 23:11:37.2966667
23706|FA2600765|0|2026-07-19 23:11:37.3000000
23707|FA2600771|0|2026-07-19 23:11:37.3033333
23709|FA2600782|0|2026-07-19 23:11:37.3033333
23710|FA2600790|0|2026-07-19 23:11:37.3066667
23711|FA2600795|0|2026-07-19 23:11:37.3100000
23712|FA2600798|0|2026-07-19 23:11:37.3100000
23713|FA2600799|0|2026-07-19 23:11:37.3133333
